Conferencia,Ano,Edicao,Titulo,Resumo,Link
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Categorical Kalman Filter for Human Activity Recognition,"Human Activity Recognition (HAR) has gained increasing attention in recent years due to its wide range of applications in health, sports, and surveillance. The ubiquity and unobtrusive nature of inertial measurement unit (IMU) sensors in consumer devices have contributed to the growing popularity of IMU-based HAR systems. However, many existing models lack transparency in their decision-making processes—an essential aspect for both users and health professionals. In this work, we propose a human activity classifier based on the Kalman filter, designed to be interpretable and efficient using IMU data. We evaluate its performance on standard HAR datasets and compare it against classical benchmark classifiers such as logistic regression and support vector machines. Experimental results demonstrate that the proposed model offers a viable and competitive alternative for classifying human activities.",https://sol.sbc.org.br/index.php/bracis/article/view/40764
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Comparative Study of Machine Learning Models for Bee Flora Classification: Integrating Feature Extractors with Classifiers,"The bee flora refers to the group of plants from which bees collect floral resources, such as pollen, nectar, or both. The potential for beekeeping production in a region is influenced by its floral coverage. Therefore, understanding the foraging resources available to bees is essential for effectively managing and optimizing apiaries. We propose developing a computational model based on machine learning to classify flower images into three categories: pollen-producing, nectar-producing, or both. The objective is to provide insights about the beekeeping production potential of a specific region. The experiments utilized a dataset of 1,145 flower images from the beekeeping flora of the Sertão Central region in Ceará, Brazil. For feature extraction, ten Convolutional Neural Networks (CNNs) were employed, while classification was performed using Support Vector Machines (SVM), K-Nearest Neighbors (KNN), Multi-Layer Perceptron (MLP), and a CNN. The study aimed to identify the best combination of feature extractors and classifier methods. The results demonstrated the efficiency of the proposed approach, with the optimal combination being ResNet50 coupled with SVM, achieving a Matthews Correlation Coefficient (MCC) of 92.94%.",https://sol.sbc.org.br/index.php/bracis/article/view/40873
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Comprehensive Study of Fitness Landscapes in AutoML: The Impact of Dataset Complexity and Search Space Neutrality,"The search space in Automated Machine Learning (AutoML) consists of numerous combinations of machine learning pipelines. Understanding how optimal solutions are distributed within this space is key to improving search strategies and Fitness Landscape Analysis (FLA) provides useful tools for this purpose. However, traditional FLA metrics often fail to capture the complexity of AutoML tasks due to their high dimensionality and interdependencies. This study investigates the relationship between dataset complexity characteristics and FLA metrics in AutoML. While previous research has hinted at this connection, no comprehensive analysis has been presented. We focus on the concept of neutrality, which refers to regions where small pipeline configuration changes lead to minimal fitness changes. This property plays a critical role in the effectiveness of search algorithms. Our results reveal statistically significant correlations between neutrality and specific dataset complexity measures, particularly those related to class overlap and feature difficulty. These insights enhance the understanding of AutoML search space dynamics and support the development of more informed and adaptive optimization strategies.",https://sol.sbc.org.br/index.php/bracis/article/view/40765
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Double Transfer Learning Approach for Improving Canine Breast Cancer Detection Using VGG-16 on Histopathological Images,"Cancer is one of the most devastating health conditions worldwide, resulting from uncontrollable cell divisions that invade adjacent tissues and organs. Early detection is crucial to improving patients’ quality of life and, sometimes, enabling a cure. In this context, computer vision tools hold significant potential to expedite cancer diagnosis. This study proposes analyzing a double transfer learning approach using histopathological images, where the model is initially trained on ImageNet, followed by fine-tuning with BreaKHis pre-trained weights before applying it to veterinary images. The results indicate that double transfer learning improves model performance by approximately 5%, as observed in k-fold cross-validation with k = 5, highlighting the effectiveness of this approach in enhancing the accuracy and robustness of models for cancer diagnosis in veterinary imaging.",https://sol.sbc.org.br/index.php/bracis/article/view/40874
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,"A Fully Automatic Approach for COVID-19 Diagnosis in CT Imaging: Integrating Lung Segmentation, Fine-Tuning and Grad-CAM Visualization","The pandemic caused by the COVID-19 virus has highlighted the need for efficient and automated medical diagnostic tools to assist healthcare professionals in the fast and accurate identification of the disease. This study introduces a fully automatic approach for classifying COVID-19 in thoracic computed tomography (CT) images from the SARS-CoV-2 CT-scan dataset, employing deep learning, automatic lung segmentation, and fine-tuning models to the specific problem. Previous transfer learning experiments revealed that MobileNet emerged as the most effective architecture for feature extraction. Integrating Detectron2 for lung segmentation and subsequent fine-tuning of the selected MobileNet model significantly improved classification performance. Visual analysis of model interpretability using Grad-CAM demonstrated that with segmented images and the refined model, the network focused on lung regions, enhancing understanding of the model diagnosis. As a result, the proposed fully automatic method achieved superior evaluation metrics compared to other methods in the literature, reaching values of 99.60% for accuracy, precision, and F1-Score, along with 99.59% for recall and 99.20% for the Matthews Correlation Coefficient (MCC).",https://sol.sbc.org.br/index.php/bracis/article/view/40846
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Generative Domain Adaptation Scheme for Swift Deployment of Parking Monitoring Systems,"Deep learning models have demonstrated remarkable accuracy in distinguishing between empty and occupied parking spaces when large amounts of annotated training data are available from the target environment. However, in real-world deployments, the major bottleneck lies in the labor-intensive annotation process required whenever a new scenario arises, or retraining is needed due to changes in the camera setup, often driven by maintenance, repositioning, or environmental conditions. This paper addresses this challenge by proposing a generative domain adaptation scheme designed to reduce annotation requirements and accelerate deployment significantly. Instead of relying on extensive labeled datasets and computationally expensive model retraining, our method synthesizes new training samples based on a small subset of instances from the target domain. In particular, by combining generative augmentation with a lightweight convolutional network for inference, our approach achieves a favorable balance between annotation cost, computational efficiency, and accuracy. These results highlight the method’s potential as a cost-effective and rapidly deployable solution for real-world parking lot monitoring. Under a cross-dataset evaluation protocol, we highlight that our approach achieves competitive accuracy (close to 97%) using as few as 256 labeled samples, thus substantially reducing human annotation effort without sacrificing classification performance.",https://sol.sbc.org.br/index.php/bracis/article/view/40766
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Livestock Monitoring System and Machine Learning Sequence Classification Comparison for Behavior Classification,"Timely disease diagnosis is essential for reducing livestock mortality, as delays caused by reliance on human visual inspection can lead to severe consequences. Early detection of illness hinges on access to detailed, individual animal data capable of capturing subtle behavioral and physiological changes before visible symptoms emerge. A robust classification system is therefore critical for automating behavior analysis, enabling prompt identification of deviations from normal patterns that may indicate illness and facilitating timely intervention. This work reports the development of an innovative livestock behavior classification and health monitoring device. The system incorporates a wireless neck collar equipped with motion and temperature sensors for continuous animal activity monitoring. A prototype collar was tested on two heifers in a controlled field setting under video surveillance. Collected data were manually annotated by human observers, classifying the heifers’ behaviors into five key categories: eating, drinking, walking, lying down, and standing. The study covers the entire process of creating the monitoring system, from the design and construction of the neck collar to data collection and annotation. It also details the complete data mining workflow, including data cleaning, pre-processing, and comparative analysis using six shallow Machine Learning (ML) algorithms. The results indicate that Gradient Tree Boosting is the best-performing model based on classification metrics appropriate for multiclass imbalanced data, such as the F1-score, Weighted F1-score, and Kappa coefficient. The designed device, integrated with a ML model, proved to be an effective and low-cost approach for classifying livestock behavior.",https://sol.sbc.org.br/index.php/bracis/article/view/40875
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,"A Multi-Dimensional Comparative Study of Generative Adversarial Networks, Diffusion Models, and Statistical Methods for Synthetic Health Data Generation","Synthetic data is increasingly important in privacy-sensitive or data-scarce domains such as healthcare, where access to real data is constrained by confidentiality or data availability challenges. This study compares three approaches for the generation of synthetic tabular health data: a statistical method (Gaussian Copula), an adversarial deep learning model (CTGAN), and an implementation of a diffusion-based technique called SimpleTableDiffusion. These methods represent different modeling paradigms: statistical, adversarial, and stochastic, each offering trade-offs in interpretability, flexibility, training stability, and privacy. We assess their performance across three dimensions: (i) statistical fidelity, that is, how well they replicate real data distributions; (ii) utility, measured by the effectiveness of classifiers trained on synthetic data and evaluated on real data; and (iii) privacy preservation, using a disclosure risk metric that estimates the likelihood of sensitive attribute inference. Our results show that CTGAN achieves the best overall performance, leading in utility, privacy, and marginal distribution quality. The Gaussian Copula excels at modeling conditional dependencies but lags in predictive tasks. The diffusion-based model performs competitively across metrics but falls short of the other generative models. This work establishes a unified benchmark, pointing towards hybrid approaches that leverage complementary strengths.",https://sol.sbc.org.br/index.php/bracis/article/view/40847
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A Multidimensional Analysis of Swarm Dynamics in a Reinforcement Learning-Based Metaheuristic,"Traditional assessments of metaheuristics typically focus on performance metrics when solving benchmark problems, with limited attention to the underlying mechanisms that drive collective intelligence. This performance-centric approach fails to indicate why certain metaheuristics are successful in specific scenarios and provides minimal guidance for improving their design. To better understand these inner dynamics, we conducted a multidimensional analysis of the swarm dynamics in a Reinforcement Learning-based metaheuristic that can combine search behaviors from different Swarm Intelligence metaheuristics. Using Interaction Networks, Search Trajectory Networks, Improvement Frequency, and Population Turnover metrics simultaneously, we reveal how the RL approach dynamically switches between different swarm behaviors depending on the problem. Our results demonstrate that the RL-based metaheuristic matches the performance of the most effective specialised algorithm for each benchmark function by adaptively mimicking its social interaction patterns, search trajectories, and fitness development. We show that for the F1 function, the RL approach adopts behaviors similar to GWO, while for the F2 function, it transitions to GPSO-like patterns, aligning with the expected best-performing characteristics reported in the literature. This multidimensional approach provides insights into how adaptive metaheuristics combine different behaviours at optimisation stages, suggesting a pathway toward self-adaptive metaheuristics that automatically select optimal search strategies according to the simulation scenario.",https://sol.sbc.org.br/index.php/bracis/article/view/40767
BRACIS,2025,2025: Anais da XXXV Brazilian Conference on Intelligent Systems,A NAS-Optimized Deep Learning Model for Customer Churn Prediction in Financial Services,"Deep Learning (DL) methods offer competitive alternatives for Customer Churn Prediction (CPP) but are challenging to optimize due to their complexity. This study introduces STArS (Sequential Temporal Neural Architecture Search), a Genetic Algorithm-based Neural Architecture Search (NAS) method, to optimize Temporal Convolutional Neural Networks (TCNN) and Long Short-Term Memory (LSTM) models. The optimized STArS models outperform traditional models, such as Random Forest and XGBoost, as well as an empirically developed TCNN. The research also highlights the importance of feature analysis for retention strategies, using a real dataset from a financial services provider. This demonstrates the practical applicability of NAS techniques across multivariate time series datasets.",https://sol.sbc.org.br/index.php/bracis/article/view/40768
